Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
5,0,6,2,yes,no,information security,testing,poor,poor,programming,testing,BPA,no,Management,smart worker,yes,no,Applications Developer
7,6,4,3,no,yes,shell programming,testing,excellent,medium,Management,system developer,Cloud Services,yes,Technical,hard worker,no,yes,Applications Developer
2,3,9,1,no,yes,information security,testing,excellent,poor,data engineering,Business process analyst,product development,yes,Technical,smart worker,no,no,Applications Developer
2,6,3,5,no,yes,r programming,database security,excellent,poor,networks,testing,Testing and Maintainance Services,yes,Management,smart worker,yes,yes,Applications Developer
2,0,3,4,yes,no,distro making,game development,excellent,medium,Software Engineering,system developer,BPA,no,Technical,hard worker,yes,no,Applications Developer
7,3,5,7,yes,yes,distro making,data science,poor,excellent,cloud computing,security,Cloud Services,no,Management,hard worker,no,yes,Applications Developer
9,1,9,1,yes,yes,machine learning,system designing,medium,excellent,cloud computing,testing,Cloud Services,no,Technical,smart worker,no,yes,Applications Developer
9,0,6,1,no,no,machine learning,hacking,medium,poor,parallel computing,developer,BPA,no,Technical,smart worker,no,no,Applications Developer
1,1,1,4,yes,yes,full stack,game development,excellent,excellent,programming,Business process analyst,SAaS services,yes,Technical,smart worker,yes,yes,Applications Developer
6,5,4,2,no,yes,machine learning,cloud computing,excellent,poor,networks,system developer,SAaS services,no,Management,hard worker,yes,yes,Applications Developer
6,0,8,9,no,yes,full stack,data science,poor,medium,IOT,developer,Web Services,yes,Management,hard worker,no,no,Applications Developer
9,6,3,7,yes,no,information security,web technologies,poor,medium,parallel computing,Business process analyst,Finance,no,Management,smart worker,yes,no,Applications Developer
4,4,6,5,no,yes,hadoop,hacking,excellent,medium,networks,Business process analyst,Sales and Marketing,no,Management,smart worker,yes,no,Applications Developer
8,0,9,6,yes,yes,shell programming,cloud computing,poor,poor,Computer Architecture,security,Sales and Marketing,no,Management,smart worker,no,no,Applications Developer
1,0,3,4,no,yes,hadoop,cloud computing,medium,medium,Software Engineering,cloud computing,Product based,no,Management,hard worker,yes,no,Applications Developer
1,0,2,4,yes,no,distro making,database security,poor,poor,Computer Architecture,system developer,Testing and Maintainance Services,yes,Management,hard worker,yes,yes,Applications Developer
2,3,5,1,yes,no,r programming,hacking,excellent,medium,networks,developer,Cloud Services,no,Technical,hard worker,yes,yes,Applications Developer
6,2,3,9,no,yes,information security,game development,excellent,excellent,hacking,testing,Testing and Maintainance Services,yes,Management,hard worker,no,yes,Applications Developer
2,0,8,7,no,no,information security,database security,excellent,poor,data engineering,cloud computing,Product based,no,Technical,smart worker,no,yes,Applications Developer
3,2,1,2,yes,yes,distro making,database security,excellent,medium,Computer Architecture,security,Cloud Services,no,Technical,smart worker,no,no,Applications Developer
2,3,2,9,yes,no,information security,data science,excellent,excellent,hacking,system developer,Sales and Marketing,yes,Management,smart worker,no,yes,Applications Developer
5,5,2,6,no,no,r programming,cloud computing,medium,poor,cloud computing,Business process analyst,SAaS services,yes,Management,hard worker,no,yes,Applications Developer
3,5,6,4,yes,yes,hadoop,game development,excellent,poor,cloud computing,testing,BPA,no,Management,smart worker,yes,no,Applications Developer
1,2,8,9,yes,no,hadoop,system designing,medium,poor,networks,cloud computing,SAaS services,yes,Management,hard worker,no,no,Applications Developer
6,1,9,7,no,yes,information security,hacking,excellent,poor,Management,Business process analyst,product development,no,Management,smart worker,yes,yes,Applications Developer
9,0,3,5,no,yes,information security,database security,poor,poor,IOT,system developer,SAaS services,yes,Technical,hard worker,no,yes,Applications Developer
9,6,5,4,yes,no,hadoop,cloud computing,medium,poor,parallel computing,Business process analyst,Sales and Marketing,yes,Technical,hard worker,no,no,Applications Developer
8,4,4,5,no,no,information security,game development,poor,poor,programming,security,Web Services,yes,Management,smart worker,yes,no,Applications Developer
9,6,6,2,no,yes,full stack,system designing,medium,poor,Management,system developer,BPA,no,Management,smart worker,no,no,Applications Developer
6,5,5,7,no,no,full stack,testing,medium,excellent,cloud computing,Business process analyst,Product based,no,Technical,smart worker,no,no,Applications Developer
2,3,4,4,yes,no,shell programming,system designing,excellent,medium,cloud computing,Business process analyst,Finance,no,Management,smart worker,no,yes,Applications Developer
9,0,8,4,no,no,information security,system designing,poor,medium,programming,developer,Finance,no,Technical,smart worker,no,no,Applications Developer
4,2,9,3,no,no,shell programming,game development,medium,medium,parallel computing,system developer,BPA,no,Technical,smart worker,no,no,Applications Developer
5,3,7,1,no,yes,shell programming,system designing,excellent,medium,cloud computing,security,Sales and Marketing,no,Technical,hard worker,no,yes,Applications Developer
9,0,9,7,yes,no,app development,data science,poor,medium,Computer Architecture,security,SAaS services,no,Management,hard worker,yes,no,Applications Developer
